id	GENE_ID	GO_PRO
THA	THRA	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin DNA binding [GO:0031490]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; general transcription initiation factor binding [GO:0140296]; nuclear receptor activity [GO:0004879]; protein domain specific binding [GO:0019904]; protein-containing complex binding [GO:0044877]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; TBP-class protein binding [GO:0017025]; thyroid hormone binding [GO:0070324]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; erythrocyte differentiation [GO:0030218]; female courtship behavior [GO:0008050]; hormone-mediated signaling pathway [GO:0009755]; learning or memory [GO:0007611]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of DNA-templated transcription, initiation [GO:2000143]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; ossification [GO:0001503]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of female receptivity [GO:0045925]; positive regulation of thyroid hormone mediated signaling pathway [GO:0002157]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of heart contraction [GO:0008016]; regulation of lipid catabolic process [GO:0050994]; regulation of myeloid cell apoptotic process [GO:0033032]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]; regulation of transcription by RNA polymerase II [GO:0006357]; response to cold [GO:0009409]; thyroid gland development [GO:0030878]; thyroid hormone mediated signaling pathway [GO:0002154]; transcription by RNA polymerase II [GO:0006366]; type I pneumocyte differentiation [GO:0060509]
RXRA	RXRA	chromatin [GO:0000785]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; receptor complex [GO:0043235]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]; DNA binding domain binding [GO:0050692]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; nuclear receptor binding [GO:0016922]; peptide binding [GO:0042277]; retinoic acid binding [GO:0001972]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator binding [GO:0001221]; vitamin D receptor binding [GO:0042809]; zinc ion binding [GO:0008270]; anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; cholesterol metabolic process [GO:0008203]; hormone-mediated signaling pathway [GO:0009755]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of transcription by RNA polymerase II [GO:0000122]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of thyroid hormone mediated signaling pathway [GO:0002157]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transporter activity [GO:0032411]; positive regulation of vitamin D receptor signaling pathway [GO:0070564]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]
PRGR	PGR	chromatin [GO:0000785]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]; ATPase binding [GO:0051117]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; signaling receptor binding [GO:0005102]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; transcription coactivator binding [GO:0001223]; zinc ion binding [GO:0008270]; cell-cell signaling [GO:0007267]; epithelial cell maturation [GO:0002070]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; lung alveolus development [GO:0048286]; negative regulation of gene expression [GO:0010629]; ovulation from ovarian follicle [GO:0001542]; paracrine signaling [GO:0038001]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; regulation of epithelial cell proliferation [GO:0050678]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]; tertiary branching involved in mammary gland duct morphogenesis [GO:0060748]
PPARG	PPARG	chromatin [GO:0000785]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; receptor complex [GO:0043235]; RNA polymerase II transcription regulator complex [GO:0090575]; alpha-actinin binding [GO:0051393]; arachidonic acid binding [GO:0050544]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding domain binding [GO:0050692]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; double-stranded DNA binding [GO:0003690]; E-box binding [GO:0070888]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; peptide binding [GO:0042277]; prostaglandin receptor activity [GO:0004955]; protein C-terminus binding [GO:0008022]; protein self-association [GO:0043621]; R-SMAD binding [GO:0070412]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; STAT family protein binding [GO:0097677]; transcription cis-regulatory region binding [GO:0000976]; transcription coregulator binding [GO:0001221]; zinc ion binding [GO:0008270]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; BMP signaling pathway [GO:0030509]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; cell maturation [GO:0048469]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; epithelial cell differentiation [GO:0030855]; fatty acid metabolic process [GO:0006631]; glucose homeostasis [GO:0042593]; hormone-mediated signaling pathway [GO:0009755]; innate immune response [GO:0045087]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; lipoprotein transport [GO:0042953]; long-chain fatty acid transport [GO:0015909]; macrophage derived foam cell differentiation [GO:0010742]; monocyte differentiation [GO:0030224]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of angiogenesis [GO:0016525]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cardiac muscle hypertrophy in response to stress [GO:1903243]; negative regulation of cellular response to transforming growth factor beta stimulus [GO:1903845]; negative regulation of cholesterol storage [GO:0010887]; negative regulation of connective tissue replacement involved in inflammatory response wound healing [GO:1904597]; negative regulation of gene expression [GO:0010629]; negative regulation of gene silencing by miRNA [GO:0060965]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interferon-gamma-mediated signaling pathway [GO:0060336]; negative regulation of lipid storage [GO:0010888]; negative regulation of macrophage derived foam cell differentiation [GO:0010745]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of pri-miRNA transcription by RNA polymerase II [GO:1902894]; negative regulation of receptor signaling pathway via STAT [GO:1904893]; negative regulation of sequestering of triglyceride [GO:0010891]; negative regulation of signaling receptor activity [GO:2000272]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of vascular associated smooth muscle cell proliferation [GO:1904706]; negative regulation of vascular endothelial cell proliferation [GO:1905563]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; placenta development [GO:0001890]; positive regulation of adiponectin secretion [GO:0070165]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of fatty acid metabolic process [GO:0045923]; positive regulation of gene expression [GO:0010628]; positive regulation of low-density lipoprotein receptor activity [GO:1905599]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; regulation of blood pressure [GO:0008217]; regulation of cholesterol transporter activity [GO:0060694]; regulation of circadian rhythm [GO:0042752]; regulation of lipid metabolic process [GO:0019216]; regulation of transcription by RNA polymerase II [GO:0006357]; response to lipid [GO:0033993]; response to nutrient [GO:0007584]; retinoic acid receptor signaling pathway [GO:0048384]; rhythmic process [GO:0048511]; signal transduction [GO:0007165]; white fat cell differentiation [GO:0050872]
MCR	NR3C2	chromatin [GO:0000785]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleoplasm [GO:0005654]; receptor complex [GO:0043235]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; regulation of transcription by RNA polymerase II [GO:0006357]; signal transduction [GO:0007165]
RXRG	RXRG	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; RNA polymerase II transcription regulator complex [GO:0090575]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; heart development [GO:0007507]; neuron differentiation [GO:0030182]; peripheral nervous system development [GO:0007422]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of myelination [GO:0031641]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]; skeletal muscle tissue development [GO:0007519]
RXRB	RXRB	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; anatomical structure development [GO:0048856]; cell differentiation [GO:0030154]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]
RARB	RARB	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]; cell differentiation [GO:0030154]; embryonic digestive tract development [GO:0048566]; embryonic eye morphogenesis [GO:0048048]; embryonic hindlimb morphogenesis [GO:0035116]; glandular epithelial cell development [GO:0002068]; growth plate cartilage development [GO:0003417]; hormone-mediated signaling pathway [GO:0009755]; multicellular organism growth [GO:0035264]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neurogenesis [GO:0022008]; positive regulation of apoptotic process [GO:0043065]; positive regulation of transcription by RNA polymerase II [GO:0045944]; retinoic acid receptor signaling pathway [GO:0048384]; signal transduction [GO:0007165]; striatum development [GO:0021756]; ureteric bud development [GO:0001657]; ventricular cardiac muscle cell differentiation [GO:0055012]
RARG	RARG	chromatin [GO:0000785]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; zinc ion binding [GO:0008270]; anterior/posterior pattern specification [GO:0009952]; canonical Wnt signaling pathway [GO:0060070]; cell differentiation [GO:0030154]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to retinoic acid [GO:0071300]; embryonic camera-type eye development [GO:0031076]; embryonic eye morphogenesis [GO:0048048]; embryonic hindlimb morphogenesis [GO:0035116]; face development [GO:0060324]; glandular epithelial cell development [GO:0002068]; growth plate cartilage chondrocyte growth [GO:0003430]; Harderian gland development [GO:0070384]; hormone-mediated signaling pathway [GO:0009755]; multicellular organism growth [GO:0035264]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of chondrocyte differentiation [GO:0032331]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube closure [GO:0001843]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of programmed cell death [GO:0043068]; positive regulation of transcription by RNA polymerase II [GO:0045944]; prostate gland epithelium morphogenesis [GO:0060740]; regulation of cell size [GO:0008361]; regulation of myelination [GO:0031641]; regulation of myeloid cell differentiation [GO:0045637]; response to retinoic acid [GO:0032526]; retinoic acid receptor signaling pathway [GO:0048384]; trachea cartilage development [GO:0060534]
ERR1	ESRRA	chromatin [GO:0000785]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; protein domain specific binding [GO:0019904]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]; cartilage development [GO:0051216]; positive regulation of cellular response to insulin stimulus [GO:1900078]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell population proliferation [GO:0042127]; regulation of ossification [GO:0030278]; regulation of osteoblast differentiation [GO:0045667]; regulation of osteoclast differentiation [GO:0045670]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; response to estradiol [GO:0032355]
STAT3	STAT3	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; nuclear receptor activity [GO:0004879]; primary miRNA binding [GO:0070878]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]; transcription cis-regulatory region binding [GO:0000976]; astrocyte differentiation [GO:0048708]; cell population proliferation [GO:0008283]; cellular response to hormone stimulus [GO:0032870]; cellular response to leptin stimulus [GO:0044320]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; eating behavior [GO:0042755]; energy homeostasis [GO:0097009]; eye photoreceptor cell differentiation [GO:0001754]; glucose homeostasis [GO:0042593]; growth hormone receptor signaling pathway [GO:0060396]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; inflammatory response [GO:0006954]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular receptor signaling pathway [GO:0030522]; leptin-mediated signaling pathway [GO:0033210]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of autophagy [GO:0010507]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of glycolytic process [GO:0045820]; negative regulation of neuron migration [GO:2001223]; negative regulation of primary miRNA processing [GO:2000635]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; phosphorylation [GO:0016310]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of gene silencing by miRNA [GO:2000637]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of metalloendopeptidase activity [GO:1904685]; positive regulation of miRNA mediated inhibition of translation [GO:1905618]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; protein import into nucleus [GO:0006606]; radial glial cell differentiation [GO:0060019]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of feeding behavior [GO:0060259]; regulation of multicellular organism growth [GO:0040014]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; response to estradiol [GO:0032355]; response to leptin [GO:0044321]; response to peptide hormone [GO:0043434]; sexual reproduction [GO:0019953]; signal transduction [GO:0007165]; stem cell population maintenance [GO:0019827]; T-helper 17 cell lineage commitment [GO:0072540]; T-helper 17 type immune response [GO:0072538]; temperature homeostasis [GO:0001659]; transforming growth factor beta receptor signaling pathway [GO:0007179]
STA5B	STAT5B	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; glucocorticoid receptor binding [GO:0035259]; identical protein binding [GO:0042802]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to growth factor stimulus [GO:0071363]; cellular response to hormone stimulus [GO:0032870]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; development of secondary female sexual characteristics [GO:0046543]; development of secondary male sexual characteristics [GO:0046544]; female pregnancy [GO:0007565]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; lactation [GO:0007595]; lipid storage [GO:0019915]; luteinization [GO:0001553]; mast cell migration [GO:0097531]; natural killer cell differentiation [GO:0001779]; negative regulation of apoptotic process [GO:0043066]; negative regulation of erythrocyte differentiation [GO:0045647]; Peyer's patch development [GO:0048541]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gamma-delta T cell differentiation [GO:0045588]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of natural killer cell proliferation [GO:0032819]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone metabolic process [GO:0042448]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of cell population proliferation [GO:0042127]; regulation of epithelial cell differentiation [GO:0030856]; regulation of multicellular organism growth [GO:0040014]; regulation of steroid metabolic process [GO:0019218]; regulation of transcription by RNA polymerase II [GO:0006357]; response to estradiol [GO:0032355]; response to interleukin-15 [GO:0070672]; response to interleukin-2 [GO:0070669]; response to interleukin-4 [GO:0070670]; response to peptide hormone [GO:0043434]; T cell differentiation in thymus [GO:0033077]; T cell homeostasis [GO:0043029]; taurine metabolic process [GO:0019530]
ANDR	AR	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; androgen binding [GO:0005497]; ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin binding [GO:0003682]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; nuclear receptor activity [GO:0004879]; POU domain binding [GO:0070974]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II general transcription initiation factor binding [GO:0001091]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; signaling receptor binding [GO:0005102]; steroid binding [GO:0005496]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator binding [GO:0001223]; zinc ion binding [GO:0008270]; activation of prostate induction by androgen receptor signaling pathway [GO:0060520]; androgen receptor signaling pathway [GO:0030521]; animal organ formation [GO:0048645]; cell-cell signaling [GO:0007267]; cellular response to estrogen stimulus [GO:0071391]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to testosterone stimulus [GO:0071394]; epithelial cell differentiation involved in prostate gland development [GO:0060742]; epithelial cell morphogenesis [GO:0003382]; in utero embryonic development [GO:0001701]; intracellular estrogen receptor signaling pathway [GO:0030520]; intracellular receptor signaling pathway [GO:0030522]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; lateral sprouting involved in mammary gland duct morphogenesis [GO:0060599]; Leydig cell differentiation [GO:0033327]; male genitalia morphogenesis [GO:0048808]; male gonad development [GO:0008584]; male somatic sex determination [GO:0019102]; mammary gland alveolus development [GO:0060749]; morphogenesis of an epithelial fold [GO:0060571]; multicellular organism growth [GO:0035264]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of integrin biosynthetic process [GO:0045720]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation involved in prostate gland development [GO:0060769]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin-like growth factor receptor signaling pathway [GO:0043568]; positive regulation of integrin biosynthetic process [GO:0045726]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of phosphorylation [GO:0042327]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription, DNA-templated [GO:0045893]; prostate gland epithelium morphogenesis [GO:0060740]; prostate gland growth [GO:0060736]; regulation of developmental growth [GO:0048638]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of systemic arterial blood pressure [GO:0003073]; regulation of transcription by RNA polymerase II [GO:0006357]; seminiferous tubule development [GO:0072520]; signal transduction [GO:0007165]; single fertilization [GO:0007338]; spermatogenesis [GO:0007283]; tertiary branching involved in mammary gland duct morphogenesis [GO:0060748]
GCR	NR3C1	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; mitochondrial matrix [GO:0005759]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; spindle [GO:0005819]; core promoter sequence-specific DNA binding [GO:0001046]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; glucocorticoid receptor activity [GO:0004883]; Hsp90 protein binding [GO:0051879]; nuclear receptor activity [GO:0004879]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; steroid hormone binding [GO:1990239]; zinc ion binding [GO:0008270]; apoptotic process [GO:0006915]; cell cycle [GO:0007049]; cell division [GO:0051301]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to transforming growth factor beta stimulus [GO:0071560]; chromatin organization [GO:0006325]; chromosome segregation [GO:0007059]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction [GO:0007165]
